World Name,Theorem Name,Correct Accuracy,Proof Accuracy
correct_test.json,rw_intro,2 / 2 = 100.00%,1 / 1 = 100.00%
correct_test.json,rw_backwards,2 / 3 = 66.67%,0 / 1 = 0.00%
correct_test.json,exact,0 / 1 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_2,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,exact_3,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,exact_4,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_6,3 / 4 = 75.00%,0 / 1 = 0.00%
correct_test.json,exact_7,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,exact_9,2 / 4 = 50.00%,0 / 1 = 0.00%
correct_test.json,exact_10,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_ne_one,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,two_five,2 / 5 = 40.00%,0 / 1 = 0.00%
correct_test.json,zero_add,2 / 6 = 33.33%,0 / 1 = 0.00%
correct_test.json,succ_add,4 / 8 = 50.00%,0 / 1 = 0.00%
correct_test.json,add_assoc,7 / 10 = 70.00%,0 / 1 = 0.00%
correct_test.json,add_right_comm,3 / 4 = 75.00%,0 / 1 = 0.00%
correct_test.json,le_trans,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_antisymm,5 / 9 = 55.56%,0 / 1 = 0.00%
correct_test.json,le_one,5 / 9 = 55.56%,0 / 1 = 0.00%
correct_test.json,le_two,9 / 16 = 56.25%,0 / 1 = 0.00%
correct_test.json,add_left_eq_zero,3 / 7 = 42.86%,0 / 1 = 0.00%
correct_test.json,zero_pow_zero,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,pow_one,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_test.json,pow_add,2 / 11 = 18.18%,0 / 1 = 0.00%
correct_test.json,mul_one,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_mul,6 / 7 = 85.71%,0 / 1 = 0.00%
correct_test.json,succ_mul,3 / 8 = 37.50%,0 / 1 = 0.00%
correct_test.json,one_mul,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,mul_assoc,4 / 8 = 50.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_zero,1 / 5 = 20.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_succ,3 / 3 = 100.00%,1 / 1 = 100.00%
correct_test.json,mul_left_ne_zero,2 / 4 = 50.00%,0 / 1 = 0.00%
correct_test.json,eq_succ_of_ne_zero,3 / 4 = 75.00%,0 / 1 = 0.00%
correct_test.json,mul_right_eq_one,2 / 14 = 14.29%,0 / 1 = 0.00%
correct_test.json,mul_eq_zero,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,mul_left_cancel,12 / 19 = 63.16%,0 / 1 = 0.00%
Total,94 / 206 = 45.63%,2 / 36 = 5.56%
