Theorem Name,Natural Language,Predicted Formalization,True Tactic,Predicted Goal State,True Goal State,Is Successful
pow_two,  -- Rewrite the left hand side using the identity that 2 is equal to the successor of 1,"rw [pow_succ, pow_one]",  rw [two_eq_succ_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,"  -- Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number.",rw pow_succ,  rw [pow_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,  -- Rewrite the left hand side using the identity that any natural number to the power of 1 is equal to that natural number,rw pow_one,  rw [pow_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,"  -- The goal is now to prove that a * a = a * a, which is true by reflexivity",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
pow_two,"  -- First, we observe that two is the successor of one, and write our goal as: a^succ(1) = a*a.",rw [pow_succ],  rw[two_eq_succ_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,"  -- We know that anything to the power of the successor of one is equal to that number multiplied by itself, so we can rewrite our goal as: a * a = a*a a","rw [pow_succ, pow_one]","  rw[pow_succ, pow_one]",error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,"  -- LHS = RHS, so our proof is complete by the reflexive property of equality.",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
pow_two,  -- a^1* a = a*a,"theorem pow_two_dev_1_temp (a : ℕ) : a ^ 2 = a * a := by
  rw [pow_succ, pow_one]","  rw [two_eq_succ_one, pow_succ]",error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,  -- a^1* a = a*a,"theorem pow_two_dev_1_temp (a : ℕ) : a ^ 2 = a * a := by
  rw [pow_succ, pow_one]",  rw [pow_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_two,"  -- lhs=rhs, so we are done.",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
