Theorem Name,Natural Language,Predicted Formalization,True Tactic,Predicted Goal State,True Goal State,Is Successful
pow_one,  -- a^succ(0) = a,rw pow_succ,  rw [one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,  -- a^0 * a = a,"rw [pow_succ, pow_zero, one_mul]",  rw [pow_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,  -- 1 * a = a,rw [pow_one],  rw [pow_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,  -- a = a,rfl,  rw [one_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- lhs = rhs, so we are done.",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
pow_one,  -- Rewrite the left hand side using the identity that 1 is equal to the successor of 0,"rw [pow_succ, pow_zero, one_mul]",  rw [one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number.",rw pow_succ,  rw [pow_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,  -- Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw pow_zero,  rw [pow_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,  -- Rewrite the left hand side using the identity that any natural number multiplied by 1 is equal to that natural number,rw pow_one,  rw [one_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- The goal is now to prove that a = a, which is true by reflexivity",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
pow_one,"  -- Using the fact that we defined 1 to be the successor of zero, we can write this as: a^succ(0) = a.","rw [pow_succ, pow_zero, mul_one]",  rw[one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- We defined the power function with the axiom such that for any natural numbers a,b, a^succ(b) = a^b * a. Using this, we can write our goal as: a^0 * a = a","rw [pow_succ, pow_zero, one_mul]",  rw[pow_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Since anything to the power of zero is also zero, we can simplify our goal to: 1 * a = a",rw [pow_one],  rw[pow_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Once again, we can use the fact that 1 is the successor 0, to write: succ(0) * a = a","rw [pow_succ, pow_zero, one_mul]",  rw[one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Using the axioms with which we defined multiplication, namely the fact that for any natural numbers a,b, succ(b) * a = b* a + a, we can simplify to: 0 * a + a = a.",rw [pow_one],  rw[succ_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Since anything multiplied by zero is also zero, we simplify our goal to: 0 + a = a.",rw [pow_one],  rw[zero_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Since adding zero to any natural number does not change its, we can simplify our goal to: a=a.",rfl,  rw[zero_add],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
pow_one,"  -- Since the LHS and RHS are prcisely the same expression, we are done by reflexivity.",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
