Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Is Correct
mul_left_ne_zero,-- Assume that b equals 0.,intro hd,intro hb,"a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ False
","a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
",Yes
mul_left_ne_zero,-- Have to show that a * b = 0,"rw [hd, mul_zero]",apply h,"a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ a * b = 0
",error,No
mul_left_ne_zero,-- a * b = 0 -> a * 0 = 0 -> 0 = 0,"rw [hd, mul_zero]","rw [hb, mul_zero]","a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ 0 = 0
",error,No
mul_left_ne_zero,-- We use reflexivity to prove the goal of 0 = 0.,rfl,rfl,,error,Yes
mul_left_ne_zero,-- Assume that b equals 0.,intro hd,intro hd,"a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
","a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
",Yes
mul_left_ne_zero,-- subtitute b with 0 which gives us a * 0 != 0,"rw [hd, mul_zero]",rw [hd] at h,"a b : ℕ
h : a * 0 ≠ 0
hd : b = 0
⊢ False
",error,No
mul_left_ne_zero,-- a * 0 != 0 -> 0 != 0,intro hd,rw [mul_zero] at h,"a b : ℕ
h : 0 ≠ 0
hd : b = 0
⊢ False
",error,No
mul_left_ne_zero,-- We have 0 != 0 which is a contradiction.,contrapose! h,tauto,,error,No
mul_left_ne_zero,-- Assume that b equals 0.,intro hd,intro hb,"a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ False
","a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
",Yes
mul_left_ne_zero,-- Have to show that a * b = 0,"rw [hd, mul_zero]",apply h,"a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ a * b = 0
",error,No
mul_left_ne_zero,-- a * b = 0 -> a * 0 = 0 -> 0 = 0,"rw [hd, mul_zero]","rw [hb, mul_zero]","a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ 0 = 0
",error,No
mul_left_ne_zero,-- We use reflexivity to prove the goal of 0 = 0.,rfl,rfl,,error,Yes
mul_left_ne_zero,-- Assume that b equals 0.,intro hd,intro hd,"a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
","a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
",Yes
mul_left_ne_zero,-- subtitute b with 0 which gives us a * 0 != 0,"rw [hd, mul_zero]",rw [hd] at h,"a b : ℕ
h : a * 0 ≠ 0
hd : b = 0
⊢ False
",error,No
mul_left_ne_zero,-- a * 0 != 0 -> 0 != 0,intro hd,rw [mul_zero] at h,"a b : ℕ
h : 0 ≠ 0
hd : b = 0
⊢ False
",error,No
mul_left_ne_zero,-- We have 0 != 0 which is a contradiction.,contrapose! h,tauto,,error,No
