Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Is Correct
add_left_comm,"  -- By associativity of addition, can change a + (b + c) into a + b + c",rw [← add_assoc],  rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + (a + c)
","a b c : ℕ
⊢ a + b + c = b + (a + c)
",Yes
add_left_comm,"  -- By the commutativity, and associativity of addition, can change a + b + c into b + (a + c)","rw [add_comm a b, add_assoc]","  rw [add_comm a b, add_assoc]","a b c : ℕ
⊢ b + (a + c) = b + (a + c)
","a b c : ℕ
⊢ b + (a + c) = b + (a + c)
",Yes
add_left_comm,"  -- So we just need to show b + (a + c) = b + (a + c), which is true by reflexivity.",rfl,  rfl,,,Yes
add_left_comm,  -- a + (b + c) = b + (a + c) -> a + b + c = b + (a + c),rw [add_assoc],  rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + (a + c)
",error,No
add_left_comm,  -- a + b + c = b + (a + c) -> a + b + c = a + b + c,rfl,  rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + a + c
",error,No
add_left_comm,  -- a + b + c = b + a + c,"rw [add_comm a b, ← add_assoc]",  rw [add_comm a b],"a b c : ℕ
⊢ b + a + c = b + a + c
",error,No
add_left_comm,  -- lhs = rhs,"rw [← add_assoc, add_comm a b, add_assoc]",  rfl,,error,No
add_left_comm,"  -- By associativity of addition, can change a + (b + c) into a + b + c",rw [← add_assoc],  rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + (a + c)
","a b c : ℕ
⊢ a + b + c = b + (a + c)
",Yes
add_left_comm,"  -- By the commutativity, and associativity of addition, can change a + b + c into b + (a + c)","rw [add_comm a b, add_assoc]","  rw [add_comm a b, add_assoc]","a b c : ℕ
⊢ b + (a + c) = b + (a + c)
","a b c : ℕ
⊢ b + (a + c) = b + (a + c)
",Yes
add_left_comm,"  -- So we just need to show b + (a + c) = b + (a + c), which is true by reflexivity.",rfl,  rfl,,,Yes
add_left_comm,  -- a + (b + c) = b + (a + c) -> a + b + c = b + (a + c),rw [add_assoc],  rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + (a + c)
",error,No
add_left_comm,  -- a + b + c = b + (a + c) -> a + b + c = a + b + c,rfl,  rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + a + c
",error,No
add_left_comm,  -- a + b + c = b + a + c,"rw [add_comm a b, ← add_assoc]",  rw [add_comm a b],"a b c : ℕ
⊢ b + a + c = b + a + c
",error,No
add_left_comm,  -- lhs = rhs,"rw [← add_assoc, add_comm a b, add_assoc]",  rfl,,error,No
